"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(1)","특성별(1)",특성별(2),여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","맞벌이여부",맞벌이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.4,13.8,31.5,5.6,5.4,69.6,,42.6,0.1,6.5,44.4,15.0,36.5,6.9,4.8,73.0,,43.3,0.2,4.4,53.2,15.9,44.5,7.5,5.6,76.4,17.3,42.5,0.0,4.0,44.0,,51.2,,12.2,79.4,20.7,51.0,0.5,5.7,39.7,,48.4,,13.7,78.0,23.9,49.8,0.8,7.1
"전국","맞벌이여부",비맞벌이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.0,13.4,27.5,5.3,6.0,69.1,,42.6,0.1,7.5,39.6,13.5,32.4,6.5,4.8,72.2,,43.1,0.1,6.4,48.9,14.4,40.6,6.7,7.0,74.9,17.4,42.0,0.1,5.9,42.2,,45.5,,12.1,77.9,21.8,51.0,0.4,7.6,38.9,,45.3,,14.1,75.7,23.8,48.8,0.5,8.5
"전국","산업",농림어업,29.1,7.1,15.4,4.4,6.5,65.8,,44.5,0.2,14.5,24.9,5.3,17.1,4.5,6.1,67.4,,39.0,1.0,11.4,25.4,4.6,15.4,3.6,4.2,70.8,,44.8,,9.6,28.8,6.9,19.0,3.9,3.2,73.0,,46.2,,8.1,36.6,9.1,25.8,4.7,4.4,72.0,18.3,45.2,,9.9,33.1,,29.6,,8.6,74.8,23.5,52.1,0.1,10.5,36.0,,33.4,,9.8,75.2,25.4,50.1,0.2,9.5
"전국","산업",광업·제조업,42.6,15.0,36.1,6.3,9.9,71.0,,44.4,0.1,4.1,39.2,15.5,33.0,6.4,7.3,68.4,,43.2,0.1,5.9,39.8,17.5,32.1,5.8,5.3,68.9,,40.8,0.0,6.0,43.6,15.9,36.5,6.9,5.0,70.8,,41.7,0.2,4.5,52.4,17.2,44.6,8.9,6.7,74.9,16.3,39.7,0.0,4.4,44.0,,50.1,,11.9,78.7,20.4,50.5,0.6,6.3,40.8,,48.7,,14.2,77.5,22.8,46.1,0.8,7.5
"전국","산업",사회간접자본?기타서비스업,42.3,15.3,34.9,7.1,8.8,73.0,,44.3,0.1,4.4,40.5,14.9,34.3,6.1,7.1,70.0,,44.4,0.1,5.1,39.9,14.8,31.8,5.6,6.0,69.8,,43.0,0.1,5.5,42.8,16.0,36.7,6.7,4.8,72.9,,42.6,0.2,3.9,52.3,17.3,44.4,7.8,6.2,76.1,17.5,41.9,0.1,3.5,43.4,,50.5,,12.2,79.2,21.2,50.8,0.6,5.9,39.0,,48.5,,13.7,78.9,23.5,50.6,0.8,6.6
"전국","직업",전문관리,44.5,19.1,37.3,6.6,6.4,77.0,,44.4,0.1,2.6,43.4,19.2,36.2,7.0,5.1,76.0,,46.1,0.1,2.4,42.5,18.1,35.0,5.9,4.7,76.7,,46.0,0.1,2.6,46.1,19.1,39.3,6.1,4.0,79.0,,45.7,0.2,1.8,56.0,19.2,47.9,7.3,4.0,82.5,17.3,42.1,0.1,1.5,44.4,,53.3,,10.6,84.7,22.8,52.1,1.0,4.0,39.4,,50.1,,12.2,84.1,24.5,51.9,1.0,4.7
"전국","직업",사? 무,46.1,17.5,39.7,6.7,7.8,76.6,,45.7,0.1,1.8,43.7,17.8,37.6,5.7,7.0,74.7,,45.8,0.2,2.8,43.3,18.9,35.5,5.1,5.9,75.4,,43.5,0.0,2.4,47.1,18.9,40.0,6.9,4.6,79.3,,43.8,0.2,1.5,55.5,17.9,46.9,7.6,6.2,82.6,17.6,41.7,0.1,1.5,46.2,,57.5,,10.8,85.3,19.4,51.1,0.5,3.0,39.8,,51.7,,14.1,84.6,22.5,52.0,0.8,4.3
"전국","직업",서비스판매,41.6,14.4,33.4,7.7,10.5,70.5,,44.0,0.2,4.3,40.4,14.4,33.9,6.4,8.1,67.2,,45.6,0.1,5.1,40.0,13.8,31.8,6.1,6.3,66.4,,42.3,0.1,5.9,42.0,15.6,35.9,7.2,6.0,69.7,,42.4,0.1,4.0,51.2,18.1,43.7,8.9,7.4,72.7,17.1,42.3,0.1,3.8,43.6,,49.8,,13.6,76.6,21.2,50.8,0.6,6.1,38.6,,46.9,,15.1,77.3,24.4,51.3,0.8,6.6
"전국","직업",농어업,29.9,6.8,15.4,4.5,6.2,65.9,,44.2,0.2,14.2,24.5,5.3,17.0,4.3,6.1,66.9,,39.1,1.1,11.6,25.7,4.8,15.4,3.4,3.9,70.9,,45.0,,9.6,29.0,6.8,18.9,3.8,3.7,72.4,,46.6,0.2,8.2,36.6,9.5,25.8,4.5,4.2,71.2,18.5,44.8,,10.0,33.5,,29.9,,9.0,74.4,23.0,51.6,0.1,10.6,35.4,,33.5,,9.6,75.0,25.8,50.0,0.2,9.6
"전국","직업",기능노무,38.6,11.7,31.9,6.6,10.5,68.4,,43.7,0.2,7.3,35.8,10.7,30.2,5.6,7.9,64.0,,40.8,0.1,8.8,35.6,12.4,27.4,5.4,6.4,63.5,,39.5,0.1,9.6,39.3,12.6,33.4,6.8,4.4,66.5,,39.4,0.2,7.0,48.1,14.8,40.7,8.0,7.4,68.7,17.1,40.4,0.0,6.7,41.3,,45.1,,12.8,73.5,20.5,50.0,0.3,9.0,39.6,,46.5,,13.7,72.1,22.4,45.9,0.5,9.8
