"성별","산업중분류별",2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"성별","산업중분류별",월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%)
"여자","예술,스포츠및여가관련서비스업(90~91)",1267976,1245841,265618,73.6,1365993,1355016,131723,78.0,1432696,1426421,75300,76.5,1462077,1450520,138684,73.8,1459302,1453235,72802,73.2,1577682,1572903,57344,83.2,1418878,1415428,41400,78.9,1636000,1630000,79000,81.3,1752000,1743000,112000,79.4,1809000,1803000,71000,80.7,1936000,1931000,64000,84.6
"여자","협회및단체,수리및기타개인서비스업(94~96)",1281637,1277276,52327,76.0,1244452,1239910,54505,71.2,1276785,1271572,62554,68.9,1244919,1236963,95474,66.7,1275496,1271706,45480,67.1,1180634,1175585,60583,60.8,1135140,1131747,40714,57.3,1207000,1203000,51000,58.6,1309000,1306000,37000,59.0,1477000,1473000,49000,61.9,1575000,1572000,35000,62.4
"남자","전체",1919566,1895193,292470,-,1986324,1964935,256673,-,2065021,2041711,279725,-,2134585,2112591,263929,-,2207508,2181866,307704,-,2270740,2246163,294924,-,2352012,2331349,247956,-,2421000,2399000,268000,-,2532000,2511000,247000,-,2678000,2656000,272000,-,2755000,2732000,280000,-
"남자","농업,임업및어업(01~03)",1713929,1677227,440421,-,1764539,1749695,178130,-,1782424,1777662,57144,-,1752623,1744107,102188,-,1927779,1914910,154427,-,1830364,1817617,152966,-,1960941,1934431,318118,-,1997000,1972000,302000,-,2056000,2013000,518000,-,2223000,2204000,228000,-,2243000,2231000,138000,-
"남자","광업(05~08)",2169908,2149397,246133,-,2306621,2295284,136048,-,2331817,2321044,129276,-,2410417,2404209,74495,-,2523742,2491737,384063,-,2606208,2582520,284258,-,2539521,2521493,216330,-,2826000,2797000,351000,-,3068000,3045000,274000,-,3129000,3117000,145000,-,3284000,3271000,151000,-
"남자","제조업(10~33)",1850521,1823383,325651,-,1917703,1897098,247261,-,2008887,1982752,313620,-,2077672,2054647,276296,-,2192542,2160447,385144,-,2294976,2264164,369746,-,2365909,2338150,333110,-,2479000,2450000,354000,-,2531000,2506000,293000,-,2678000,2651000,333000,-,2773000,2751000,266000,-
"남자","전기,가스,증기및수도사업(35~36)",1946460,1873632,873932,-,2088595,2030406,698268,-,2308443,2251402,684494,-,2327293,2264298,755938,-,2290775,2246697,528935,-,2344425,2319887,294458,-,2668651,2620840,573731,-,2823000,2789000,411000,-,2980000,2864000,1393000,-,3278000,3192000,1031000,-,3036000,3009000,329000,-
"남자","하수·폐기물처리,원료재생및환경복원업(37~39)",1943570,1926296,207290,-,1976108,1965815,123517,-,1899564,1879544,240240,-,1951806,1944113,92318,-,2099399,2081083,219793,-,2219853,2202299,210653,-,2328094,2316594,138003,-,2491000,2481000,117000,-,2495000,2467000,332000,-,2716000,2702000,166000,-,2717000,2706000,136000,-
"남자","건설업(41~42)",1915540,1896170,232438,-,2017945,2005608,148043,-,2179059,2154465,295127,-,2310522,2294553,191626,-,2378390,2340672,452613,-,2497575,2474573,276022,-,2510336,2486097,290862,-,2636000,2612000,282000,-,2738000,2716000,266000,-,2925000,2908000,206000,-,2953000,2931000,266000,-
"남자","도매및소매업(45~47)",1870742,1846944,285578,-,1967241,1943453,285456,-,2052442,2028337,289260,-,2076878,2049730,325774,-,2119427,2100701,224715,-,2156536,2124186,388202,-,2151692,2132895,225566,-,2220000,2201000,231000,-,2416000,2401000,174000,-,2657000,2638000,236000,-,2761000,2737000,291000,-
