구분,기업명,분류,시도
493,마이크로큐닉스㈜,중소기업,서울
494,만구수산㈜,중소기업,경남
495,㈜매드포스터디,중소기업,서울
496,㈜피씨지,중소기업,서울
497,주식회사 메이아이,중소기업,대전
498,㈜메타바이오메드 ,중소기업,충북
499,(유)목양,중소기업,충남
500,㈜미애부,중소기업,경기
501,㈜미정,중소기업,경북
502,주식회사 바이로봇,중소기업,경기
503,㈜반도기전,중소기업,충남
504,범한산업㈜,중소기업,경남
505,벨정보㈜,중소기업,대구
506,㈜복천식품,중소기업,경기
507,㈜봄내,중소기업,강원
508,㈜부산어묵,중소기업,경남
509,주식회사 비비테크,중소기업,경기
510,주식회사 비에스,중소기업,부산
511,주식회사 비티씨,중소기업,경기
512,주식회사 산엔지니어링,중소기업,경기
513,삼건세기㈜,중소기업,경남
514,삼성유리공업㈜,중소기업,경북
515,주식회사 삼성종합관리,중소기업,인천
516,㈜삼우아이엠씨,중소기업,강원
517,㈜삼육수산,중소기업,충남
518,상일제과 주식회사,중소기업,강원
519,샬롬산업㈜,중소기업,전남
520,㈜서울식품,중소기업,강원
521,㈜서원푸드,중소기업,경북
522,㈜성광옵틱,중소기업,경북
523,성원물산,중소기업,전남
524,주식회사 세라트,중소기업,경기
525,세미크론㈜,중소기업,경기
526,세원테크 주식회사,중소기업,충북
527,㈜소만사,중소기업,서울
528,㈜소프트기획,중소기업,부산
529,㈜신성사,중소기업,경남
530,농업회사법인신양종합식품 주식회사,중소기업,충북
531,신일종합시스템㈜,중소기업,서울
532,㈜신화아이티,중소기업,충북
533,㈜신흥농산,중소기업,경기
534,신흥제과,중소기업,충남
535,주)10억홈피,중소기업,광주
536,주식회사 씨에이팜,중소기업,서울
537,㈜씨엠텍,중소기업,광주
538,주식회사 아누리,중소기업,서울
539,주식회사 아모센스,중소기업,충남
540,㈜아벤트코리아,중소기업,서울
541,주식회사 아산정밀,중소기업,부산
542,㈜아이디어빈스,중소기업,서울
543,㈜아이에스솔루션즈,중소기업,서울
544,㈜아이온커뮤니케이션즈,중소기업,서울
545,주식회사 알엠소프트,중소기업,서울
546,에듀하우스㈜,중소기업,서울
547,주식회사 에브리데이해피,중소기업,경기
548,㈜에스에이치페이퍼텍,중소기업,충북
549,㈜에스이이엔지,중소기업,대전
550,주식회사 에이서브,중소기업,서울
551,주식회사 에이원,중소기업,서울
552,㈜에프앤디넷,중소기업,서울
553,주식회사 엠스텍,대기업,서울
554,㈜엠쏘텍,중소기업,대전
555,엠엘씨월드카고 주식회사,중소기업,서울
556,엠일레븐커뮤니케이션㈜,중소기업,서울
557,㈜여의시스템,중소기업,경기
558,㈜연암테크,중소기업,경남
559,㈜영신특수강,중소기업,충남
560,㈜옥종합식품,중소기업,경북
561,올제텍 주식회사,중소기업,대전
562,㈜올크린,중소기업,경기
563,주식회사 와이즈웰니스,중소기업,서울
564,㈜움트리,중소기업,경기
565,주식회사 위치스,중소기업,광주
566,㈜유니베라,중소기업,서울
567,주식회사 유런하이테크,중소기업,충남
568,주식회사 유플러스시스템,중소기업,서울
569,㈜유한D&S,중소기업,제주
570,주식회사 이공감,중소기업,대전
571,주식회사 이누크리에이티브앤미디어,중소기업,서울
572,이룸디자인스킨 주식회사,중소기업,서울
573,주식회사 이모티브시앤시,중소기업,경기
574,이샘내과의원,중소기업,부산
575,㈜이에스연구소,중소기업,대전
576,㈜이엔팜,중소기업,서울
577,주식회사 이킴,중소기업,충북
578,이텍산업 주식회사,중소기업,세종
579,㈜장보고물산,중소기업,전남
580,장암칼스 주식회사,중소기업,서울
581,㈜제이에스 홀딩스,중소기업,충남
582,제이에스오토모티브㈜,중소기업,인천
583,(주)제이피엠엔지니어링,중소기업,제주
584,(유)제일물산,중소기업,전남
585,제일E&S 주식회사,중소기업,경남
586,(주)중원냉열,중소기업,경기
587,지성알미늄 주식회사,중소기업,경기
588,㈜지씨에스씨,중소기업,부산
589,㈜지엔팜,중소기업,경기
590,주식회사 지엘앤티,중소기업,경기
591,㈜진성테크,중소기업,경기
592,㈜진테크널러지,중소기업,경기
593,창원기술정공,중소기업,경남
594,주식회사 캐스트맨,중소기업,경기
595,토닉스틸㈜,중소기업,경기
596,㈜케이아이엔엑스,중소기업,서울
597,케이에스아이㈜,중소기업,경기
598,㈜코엔지,중소기업,서울
599,주식회사 크레디프,중소기업,서울
600,주식회사 클콩,중소기업,경기
601,주식회사 킹텍스,중소기업,충북
602,㈜타라그래픽스,중소기업,서울
603,㈜타이드스퀘어,중소기업,서울
604,㈜태광네트웍정보,중소기업,경기
605,태광정밀,중소기업,경기
606,㈜태림에프웰,중소기업,경기
607,태성전기㈜,중소기업,경북
608,(주)토마스 케이블,중소기업,충북
609,㈜토퍼스엔지니어링,중소기업,서울
610,주식회사 파나시아,중소기업,부산
611,주식회사 포시에스,중소기업,서울
612,㈜프라임솔루션,중소기업,경기
613,주식회사 프로바이오닉,중소기업,전북
614,주식회사 프로토타입,중소기업,서울
615,㈜플랜아이,중소기업,대전
616,주식회사 피레타,중소기업,대전
617,㈜피엘코스메틱,중소기업,인천
618,㈜필라테크,중소기업,서울
619,㈜하몬소프트,중소기업,서울
620,하안유산부인과,중소기업,충북
621,하은테크㈜,중소기업,경남
622,한국자연환경연구소㈜,중소기업,경기
623,㈜한국테크놀로지,중소기업,서울
624,㈜한국프라켐,중소기업,서울
625,농업회사법인(주)한길웰바이오,중소기업,경북
626,주식회사 한나노텍,중소기업,대전
627,주식회사 한맥식품,중소기업,경기
628,주식회사 한백냉장,중소기업,경기
629,㈜한빛코리아,중소기업,경기
630,㈜한스코리아,중소기업,인천
631,㈜한일코리아,중소기업,경기
632,해동기계공업㈜,중소기업,경남
633,헨켈홈케어코리아 유한회사,대기업,서울
634,현대산기㈜,중소기업,경남
635,주식회사 현대에스엔씨,중소기업,경남
636,홍도식품,중소기업,전남
637,㈜화인에프티,중소기업,충남
638,㈜환공식품,중소기업,경남
639,강원도 동해시청,공공기관,강원
640,강원도청,공공기관,강원
641,강화군시설관리공단,공공기관,인천
642,경기도 고양시청,공공기관,경기
643,경기도 광주시청,공공기관,경기
644,경기도 구리시청,공공기관,경기
645,경기도 김포시청,공공기관,경기
646,경기도 부천시청,공공기관,경기
647,경기도 성남시청,공공기관,경기
648,경기도 시흥시청,공공기관,경기
649,경기도 파주시청,공공기관,경기
650,경기도 포천시청,공공기관,경기
651,경기도 화성시청,공공기관,경기
652,경기도 장애인복지종합지원센터,공공기관,경기
653,경기도청,공공기관,경기
654,경상남도청,공공기관,경남
655,경상북도 포항시청,공공기관,경북
656,경상북도개발공사,공공기관,경북
657,군포시시설관리공단,공공기관,경기
658,김포도시공사,공공기관,경기
659,대구광역시 중구청,공공기관,대구
660,대전광역시 대덕구청,공공기관,대전
661,대전광역시 동구청,공공기관,대전
662,부산광역시 강서구청,공공기관,부산
663,부산광역시 금정구청,공공기관,부산
664,부산광역시 기장군청,공공기관,부산
665,부산광역시 남구청,공공기관,부산
666,부산광역시 동구청,공공기관,부산
667,부산광역시 동래구청,공공기관,부산
668,부산광역시 북구청,공공기관,부산
669,부산광역시 사상구청,공공기관,부산
670,부산광역시 사하구청,공공기관,부산
671,부산광역시 서구청,공공기관,부산
672,부산광역시 수영구청,공공기관,부산
673,부산광역시 연제구청,공공기관,부산
674,부산광역시 영도구청,공공기관,부산
675,부산광역시 부산진구청,공공기관,부산
676,부산광역시 해운대구청,공공기관,부산
677,서울특별시 강북구청,공공기관,서울
678,서울특별시강서구시설관리공단,공공기관,서울
679,서울특별시영등포구시설관리공단,공공기관,서울
680,서울특별시용산구시설관리공단,공공기관,서울
681,사단법인 서울특별시자원봉사센터,공공기관,서울
682,성북구도시관리공단,공공기관,서울
683,세종특별자치시청,공공기관,세종
684,수원도시공사,공공기관,경기
685,안산도시공사,공공기관,경기
686,양주시시설관리공단,공공기관,경기
687,연천군시설관리공단,공공기관,경기
688,영화진흥위원회,공공기관,부산
689,재단법인 오산문화재단,공공기관,경기
690,울산시설공단,공공기관,울산
691,인천광역시 계양구청,공공기관,인천
