"성별","직업대분류별","연령별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"전체","전문가 및 관련 종사자","19세이하","연간특별급여액","원","646779","708553","467080","130877","513578","1717217","4260761","298000","1316000","1039000","612000",
"전체","전문가 및 관련 종사자","19세이하","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","20~24세","월임금총액","원","1588436.66667","1630530.91667","1745236.25","1800286","1858089.25","1847754.58333","1911936.75","1965000","2082000","2170000","2365000",
"전체","전문가 및 관련 종사자","20~24세","월급여액","원","1484819","1539187","1638312","1708273","1752423","1753571","1831055","1885000","1976000","2085000","2256000",
"전체","전문가 및 관련 종사자","20~24세","정액급여","원","1413635","1464143","1558136","1624080","1650897","1657138","1726632","1782000","1872000","1976000","2142000",
"전체","전문가 및 관련 종사자","20~24세","초과급여","원","71184","75044","80175","84192","101526","96433","104423","102000","104000","109000","114000",
"전체","전문가 및 관련 종사자","20~24세","연간특별급여액","원","1243412","1096127","1283091","1104156","1267995","1130203","970581","958000","1267000","1018000","1303000",
"전체","전문가 및 관련 종사자","20~24세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","25~29세","월임금총액","원","2204674.58333","2286942.25","2358149.91667","2431349.25","2522021.75","2609829.83333","2580005.83333","2699000","2776000","2866000","2993000",
"전체","전문가 및 관련 종사자","25~29세","월급여액","원","1919238","2016866","2088218","2161401","2227868","2280185","2335131","2392000","2491000","2569000","2703000",
"전체","전문가 및 관련 종사자","25~29세","정액급여","원","1840866","1931592","1995626","2066706","2121630","2175174","2205075","2279000","2357000","2425000","2551000",
"전체","전문가 및 관련 종사자","25~29세","초과급여","원","78372","85274","92592","94695","106238","105011","130056","114000","134000","144000","151000",
"전체","전문가 및 관련 종사자","25~29세","연간특별급여액","원","3425239","3240915","3239183","3239379","3529845","3955738","2938498","3675000","3427000","3559000","3478000",
"전체","전문가 및 관련 종사자","25~29세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","30~34세","월임금총액","원","2932523.75","3045093","3070218.16667","3129884.91667","3213647.33333","3331976.16667","3313770.58333","3534000","3586000","3706000","3761000",
