"여자","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",수도업,3817,3231,7035,67.6
"여자","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",하수 폐수 및 분뇨 처리업,3059,2832,2717,78.4
"여자","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 수집 운반 처리 및 원료 재생업,2900,2723,2127,75.9
"여자","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",환경 정화 및 복원업,2899,2648,3006,66.3
"여자","F.건설업(41~42)",소계,2891,2747,1726,72.1
"여자","F.건설업(41~42)",종합 건설업,3088,2889,2396,66.1
"여자","F.건설업(41~42)",전문직별 공사업,2766,2658,1303,77.7
"여자","G.도매 및 소매업(45~47)",소계,2888,2671,2596,67.2
"여자","G.도매 및 소매업(45~47)",자동차 및 부품 판매업,3895,3162,8806,72.9
"여자","G.도매 및 소매업(45~47)",도매 및 상품 중개업,3250,2995,3058,72.7
"여자","G.도매 및 소매업(45~47)",소매업; 자동차 제외,2453,2301,1831,68.4
"여자","H.운수 및 창고업(49~52)",소계,3030,2690,4082,86.9
"여자","H.운수 및 창고업(49~52)",육상 운송 및 파이프라인 운송업,2937,2682,3063,99.4
"여자","H.운수 및 창고업(49~52)",수상 운송업,3309,3059,3004,70.2
"여자","H.운수 및 창고업(49~52)",항공 운송업,4242,2800,17307,66.6
"여자","H.운수 및 창고업(49~52)",창고 및 운송관련 서비스업,2883,2661,2660,68.7
"여자","I.숙박 및 음식점업(55~56)",소계,2073,2015,699,79.5
"여자","I.숙박 및 음식점업(55~56)",숙박업,2359,2201,1905,76.9
"여자","I.숙박 및 음식점업(55~56)",음식점 및 주점업,2026,1984,503,82.8
"여자","J.정보통신업(58~63)",소계,3618,3346,3261,72.8
"여자","J.정보통신업(58~63)",출판업,3436,3262,2088,77.1
"여자","J.정보통신업(58~63)",영상ㆍ오디오 기록물 제작 및 배급업,2753,2654,1192,73.4
"여자","J.정보통신업(58~63)",방송업,4238,3611,7530,71.1
"여자","J.정보통신업(58~63)",우편 및 통신업,4598,3769,9958,69.5
"여자","J.정보통신업(58~63)",컴퓨터 프로그래밍 시스템 통합 및 관리업,4052,3669,4607,76.1
"여자","J.정보통신업(58~63)",정보서비스업,3756,3467,3464,73.5
"여자","K.금융 및 보험업(64~66)",소계,5041,3918,13475,72.3
"여자","K.금융 및 보험업(64~66)",금융업,5242,3981,15131,75.3
"여자","K.금융 및 보험업(64~66)",보험 및 연금업,4650,3859,9492,70.3
"여자","K.금융 및 보험업(64~66)",금융 및 보험관련 서비스업,4823,3787,12428,65.6
"여자","L.부동산업(68)",소계,2176,2051,1508,67.8
"여자","L.부동산업(68)",부동산업,2176,2051,1508,67.8
"여자","M.전문, 과학 및 기술 서비스업(70~73)",소계,3662,3281,4579,66.6
"여자","M.전문, 과학 및 기술 서비스업(70~73)",연구개발업,4541,3796,8938,67.4
"여자","M.전문, 과학 및 기술 서비스업(70~73)",전문 서비스업,3567,3253,3769,62.8
"여자","M.전문, 과학 및 기술 서비스업(70~73)",건축 기술 엔지니어링 및 기타 과학기술 서비스업,3091,2890,2408,71.7
"여자","M.전문, 과학 및 기술 서비스업(70~73)",기타 전문 과학 및 기술 서비스업,2848,2686,1933,70.7
"여자","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",소계,2521,2375,1751,70.0
"여자","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",사업시설 관리 및 조경 서비스업,2434,2308,1516,69.8
"여자","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",사업 지원 서비스업,2515,2363,1816,68.7
"여자","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",임대업; 부동산 제외,3036,2923,1357,83.2
"여자","P.교육 서비스업(85)",소계,2959,2801,1892,65.3
"여자","P.교육 서비스업(85)",교육 서비스업,2959,2801,1892,65.3
"여자","Q.보건업 및 사회복지 서비스업(86~87)",소계,2507,2364,1713,55.1
"여자","Q.보건업 및 사회복지 서비스업(86~87)",보건업,3287,3010,3316,58.7
"여자","Q.보건업 및 사회복지 서비스업(86~87)",사회복지 서비스업,1808,1785,277,71.9
"여자","R.예술, 스포츠 및 여가관련 서비스업(90~91)",소계,2542,2383,1913,75.9
"여자","R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 예술 및 여가관련 서비스업,2724,2587,1640,75.2
"여자","R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 및 오락관련 서비스업,2475,2308,2013,75.5
"여자","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",소계,2328,2193,1627,66.8
"여자","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",협회 및 단체,2593,2408,2212,75.5
"여자","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",개인 및 소비용품 수리업,2764,2531,2802,75.3
"여자","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",기타 개인 서비스업,1892,1842,600,63.9
"남자","전체",소계,4316,3756,6715,-
"남자","A.농업, 임업 및 어업(01~03)",소계,3738,3145,7124,-
"남자","A.농업, 임업 및 어업(01~03)",농업,3844,3237,7282,-
"남자","A.농업, 임업 및 어업(01~03)",임업,3683,2983,8397,-
